1385736,德国 进口牛奶 欧德堡（Oldenburger）超高温处理全脂纯牛奶200ml*24盒,http://item.jd.com/1385736.html,89.00,1180000,0.983
2658756,法国原装进口 荷兰乳牛3.5 3.8全脂牛奶1L*6 整箱,http://item.jd.com/2658756.html,59.00,290000,0.987
1070843,新西兰原装进口牛奶 安佳Anchor全脂牛奶UHT纯牛奶250ml*24 整箱装,http://item.jd.com/1070843.html,99.00,390000,0.987
1307900,德国 进口牛奶 Arla爱氏晨曦 全脂牛奶 1L*12 整箱装,http://item.jd.com/1307900.html,119.00,350000,0.987
627718,德国 进口牛奶 欧德堡（Oldenburger）超高温处理全脂纯牛奶1L*12,http://item.jd.com/627718.html,139.00,900000,0.985
1533902,新西兰 进口牛奶 纽仕兰（Theland）全脂牛奶 250ml*24家庭装,http://item.jd.com/1533902.html,79.00,220000,0.985
896024,德国进口牛奶 德亚（Weidendorf）全脂 200ml*30,http://item.jd.com/896024.html,89.00,230000,0.989
1070841,新西兰原装进口牛奶 安佳Anchor全脂牛奶UHT纯牛奶1L*12 整箱装,http://item.jd.com/1070841.html,149.00,160000,0.99
1805141,澳大利亚 进口奶粉 德运 （Devondale）调制乳粉（全脂）成人奶粉 1kg 袋装,http://item.jd.com/1805141.html,59.90,120000,0.987
1127466,澳大利亚 进口牛奶 德运（Devondale） 全脂牛奶 1L*10 整箱装,http://item.jd.com/1127466.html,99.00,270000,0.987
1857014,德国 进口牛奶 Arla爱氏晨曦 全脂牛奶 200ml*24 整箱装,http://item.jd.com/1857014.html,65.00,350000,0.988
5148123,新西兰原装进口 安佳（Anchor）全脂牛奶UHT纯牛奶250ml*6尝鲜装,http://item.jd.com/5148123.html,35.00,1500,0.998
1431626,新西兰进口 纽麦福（Meadow fresh）进口纯牛奶 全脂250ml*24盒/箱,http://item.jd.com/1431626.html,79.00,130000,0.987
2058341,新西兰原装进口 安佳Anchor全脂乳粉 成人全脂奶粉 1KG袋装,http://item.jd.com/2058341.html,79.00,41000,0.987
2149283,德国进口酸奶 德亚（Weidendorf）200ml*24,http://item.jd.com/2149283.html,99.00,73000,0.991
1284568,澳大利亚 进口牛奶 德运 （Devondale ）全脂牛奶200ml*24整箱装（两种包装随机发货）,http://item.jd.com/1284568.html,79.00,71000,0.983
3723872,德国 进口牛奶 Arla爱氏晨曦 脱脂牛奶 200ml*24 整箱装,http://item.jd.com/3723872.html,54.00,80000,0.99
2149294,德国进口牛奶 德亚（Weidendorf）脱脂 200ml*30,http://item.jd.com/2149294.html,89.00,47000,0.984
3746503,新西兰原装进口 牛奶安佳Anchor卓冉有机纯牛奶250ml*24整箱装,http://item.jd.com/3746503.html,149.00,8400,0.989
1796166,新西兰原装进口牛奶 安佳Anchor轻欣脱脂牛奶UHT 250ml*24 整箱装,http://item.jd.com/1796166.html,109.00,48000,0.987
1805138,澳大利亚 进口奶粉 德运 （Devondale）调制成人奶粉 （脱脂）1kg 袋装,http://item.jd.com/1805138.html,69.00,45000,0.989
14815570834,安佳牛奶 全脂纯牛奶新西兰进口UHT 250ml*24整箱,http://item.jd.com/14815570834.html,99.00,9800,0.995
1431598,新西兰进口 纽麦福（Meadow fresh）进口纯牛奶 全脂1L*12盒/箱,http://item.jd.com/1431598.html,119.00,65000,0.989
2005965,澳洲进口牛奶 维纯 Vitalife 全脂UHT牛奶1箱 1Lx12 盒,http://item.jd.com/2005965.html,99.00,33000,0.989
2118943,澳大利亚 进口牛奶 哈威鲜（(Harvery fresh)）牛奶 全脂纯牛奶 1L*12盒,http://item.jd.com/2118943.html,99.00,72000,0.989
1546827,新西兰原装进口儿童牛奶 安佳Anchor金装儿童牛奶190ml*27 整箱装,http://item.jd.com/1546827.html,119.00,39000,0.994
2816155,德国 进口牛奶 欧德堡（Oldenburger）超高温处理脱脂纯牛奶200ml*24盒,http://item.jd.com/2816155.html,79.00,120000,0.975
2149293,德国进口酸奶 德亚（Weidendorf）200ml*15,http://item.jd.com/2149293.html,59.00,87000,0.989
1938564,澳洲进口牛奶 德运 Devondale 全脂成人奶粉 1kg,http://item.jd.com/1938564.html,55.90,200000,0.976
1133843,澳大利亚 进口牛奶 德运（Devondale）脱脂牛奶 1L*10 整箱装,http://item.jd.com/1133843.html,99.00,81000,0.979
